English Word,Telugu Translation
The,ది
Lion,సింహం
King,రాజు
is,ఉంది
American,అమెరికన్
musical,సంగీత
drama,డ్రామా
film,చిత్రం
that,ఆ
photorealistic,ఫోటోరియలిస్టిక్
animated,యానిమేటెడ్
remake,రీమేక్
of,యొక్క
the,ది
traditionally,సాంప్రదాయకంగా
It,అది
directed,దర్శకత్వం వహించారు
by,ద్వారా
Jon,జోన్
Favreau,FAVREAUE
written,వ్రాయబడింది
Jeff,జెఫ్
Nathanson,నాథన్సన్
and,మరియు
produced,ఉత్పత్తి
Walt,వాల్ట్
Disney,డిస్నీ
Pictures,చిత్రాలు
Fairview,ఫెయిర్‌వ్యూ
Entertainment,వినోదం
stars,నక్షత్రాలు
voices,స్వరాలు
Donald,డోనాల్డ్
Glover,గ్లోవర్
Seth,సేథ్
Rogen,రోజెన్
Chiwetel,చివెటెల్
Ejiofor,ఎజియోఫోర్
Alfre,ఆల్ఫ్రే
Woodard,వుడార్డ్
Billy,బిల్లీ
Eichner,ఐచ్నర్
John,జాన్
Kani,కని
The,ది
Lion,సింహం
King,రాజు
is,ఉంది
American,అమెరికన్
musical,సంగీత
drama,డ్రామా
film,చిత్రం
that,ఆ
photorealistic,ఫోటోరియలిస్టిక్
animated,యానిమేటెడ్
remake,రీమేక్
of,యొక్క
the,ది
traditionally,సాంప్రదాయకంగా
It,అది
directed,దర్శకత్వం వహించారు
by,ద్వారా
Jon,జోన్
Favreau,FAVREAUE
written,వ్రాయబడింది
Jeff,జెఫ్
Nathanson,నాథన్సన్
and,మరియు
produced,ఉత్పత్తి
Walt,వాల్ట్
Disney,డిస్నీ
Pictures,చిత్రాలు
Fairview,ఫెయిర్‌వ్యూ
Entertainment,వినోదం
stars,నక్షత్రాలు
voices,స్వరాలు
Donald,డోనాల్డ్
Glover,గ్లోవర్
Seth,సేథ్
Rogen,రోజెన్
Chiwetel,చివెటెల్
Ejiofor,ఎజియోఫోర్
Alfre,ఆల్ఫ్రే
Woodard,వుడార్డ్
Billy,బిల్లీ
Eichner,ఐచ్నర్
John,జాన్
Kani,కని
Oliver,ఆలివర్
Florence,ఫ్లోరెన్స్
Kasumba,కసుంబ
Eric,ఎరిక్
Andr,ఆండర్
Keegan,కీగన్
Michael,మైఖేల్
Key,కీ
JD,JD
McCrary,మెక్‌కారీ
Shahadi,షహాది
Wright,రైట్
Joseph,జోసెఫ్
with,తో
Beyonc,బియాన్క్
Knowles,నోలెస్
Carter,కార్టర్
James,జేమ్స్
Earl,ఎర్ల్
Jones,జోన్స్
reprising,రీప్రైజింగ్
his,తన
voice,వాయిస్
role,పాత్ర
plot,ప్లాట్
follows,క్రింది
Simba,సింబా
young,యంగ్
lion,సింహం
who,WHO
must,తప్పక
embrace,ఆలింగనం
as,as
rightful,సరైనది
king,రాజు
homeland,హోంల్యాండ్
following,క్రింది
murder,హత్య
father,తండ్రి
Mufasa,ముఫాసా
at,వద్ద
hands,చేతులు
uncle,అంకుల్
Scar,మచ్చ
Plans,ప్రణాళికలు
for,కోసం
were,ఉన్నారు
confirmed,ధ్రువీకరించారు
in,ఇన్
September,సెప్టెంబర్
box,బాక్స్
office,కార్యాలయం
successes,విజయాలు
remakes,రీమేక్‌లు
such,అలాంటిది
Jungle,అడవి
Book,పుస్తకం
was,ఉంది
inspired,ప్రేరణ
certain,ఖచ్చితంగా
roles,పాత్రలు
characters,అక్షరాలు
Broadway,బ్రాడ్‌వే
adaptation,అనుసరణ
developed,అభివృద్ధి చేయబడింది
upon,at
elements,అంశాలు
original,అసలైన
story,కథ
Much,చాలా
main,ప్రధాన
cast,తారాగణం
signed,సంతకం
early,ప్రారంభంలో
principal,ప్రిన్సిపాల్
photography,ఫోటోగ్రఫీ
began,ప్రారంభమైంది
mid,మధ్య
on,పై
blue,నీలం
screen,స్క్రీన్
stage,దశ
Los,లాస్
Angeles,ఏంజిల్స్
virtual,వర్చువల్
reality,వాస్తవికత
tools,సాధనాలు
utilized,ఉపయోగించబడింది
cinematography,సినిమాటోగ్రఫీ
used,ఉపయోగించబడిన
to,to
greater,ఎక్కువ
degree,డిగ్రీ
during,సమయంలో
filming,చిత్రీకరణ
Composers,స్వరకర్తలు
Hans,హన్స్
Zimmer,జిమ్మెర్
Elton,ఎల్టన్
lyricist,గీత రచయిత
Tim,టిమ్
Rice,బియ్యం
returned,తిరిగి వచ్చింది
compose,కంపోజ్
score,స్కోరు
alongside,కలిసి
assisted,సహాయక
reworking,పునర్నిర్మాణం
soundtrack,సౌండ్‌ట్రాక్
wrote,రాశారు
new,క్రొత్తది
song,పాట
titled,శీర్షిక
Spirit,ఆత్మ
which,ఇది
she,ఆమె
also,అలాగే
performed,ప్రదర్శించారు
one,ఒకటి
most,అత్యంత
expensive,ఖరీదైనది
films,సినిమాలు
ever,ఎప్పుడూ
made,తయారు చేయబడింది
well,బాగా
live,లైవ్
action,చర్య
premiered,ప్రీమియర్
Hollywood,హాలీవుడ్
July,జూలై
theatrically,థియేట్రికల్
released,విడుదల
United,యునైటెడ్
States,రాష్ట్రాలు
Dolby,డాల్బీ
Cinema,సినిమా
RealD,రియల్డ్
IMAX,ఐమాక్స్
formats,ఫార్మాట్లు
received,స్వీకరించబడింది
mixed,మిశ్రమ
reviews,సమీక్షలు
from,నుండి
critics,విమర్శకులు
many,చాలా
criticizing,విమర్శించడం
lack,లేకపోవడం
originality,వాస్తవికత
being,ఉండటం
nearly,దాదాపు
identical,ఒకేలా ఉంటుంది
However,అయితే
it,అది
grossed,స్థూలంగా
over,ఓవర్
billion,బిలియన్
worldwide,ప్రపంచవ్యాప్తంగా
its,దాని
theatrical,థియేట్రికల్
run,రన్
broke,విరిగింది
several,అనేక
records,రికార్డులు
including,సహా
becoming,మారుతోంది
highest,అత్యధికం
grossing,స్థూలంగా
all,అన్నీ
time,సమయం
since,నుండి
August,ఆగస్టు
became,అయ్యింది
seventh,ఏడవది
second,రెండవ
readaptation,చదవడానికి
date,తేదీ
nominations,నామినేషన్లు
Best,ఉత్తమమైనది
Animated,యానిమేటెడ్
Feature,లక్షణం
Film,చిత్రం
Original,అసలైన
Song,పాట
categories,కేటగిరీలు
th,వ
Golden,బంగారు
Globe,భూగోళం
Awards,అవార్డులు
Critics,విమర్శకులు
Choice,ఎంపిక
nominated,నామినేట్
rd,Rd
British,బ్రిటిష్
Academy,అకాడమీ
nd,nd
both,రెండు
visual,దృశ్య
effects,ప్రభావాలు
prequel,ప్రీక్వెల్
set,సెట్
release,విడుదల
December,డిసెంబర్
Barry,బారీ
Jenkins,జెంకిన్స్
attached,జతచేయబడింది
direct,డైరెక్ట్
Plot,ప్లాట్
In,ఇన్
Pride,అహంకారం
Lands,భూములు
Tanzania,టాంజానియా
pride,అహంకారం
lions,సింహాలు
rule,నియమం
animal,జంతువు
kingdom,రాజ్యం
Rock,రాక్
Queen,రాణి
Sarabi,సారాబీ
present,ప్రస్తుతం
their,వారి
newborn,నవజాత శిశువు
son,కొడుకు
gathering,సేకరణ
animals,జంతువులు
Rafiki,రఫీకి
mandrill,మాండ్రిల్
shaman,షమన్
advisor,సలహాదారు
shows,ప్రదర్శనలు
explains,వివరిస్తుంది
him,ఆయన
responsibilities,బాధ్యతలు
kingship,కింగ్‌షిప్
circle,వృత్తం
life,జీవితం
connects,కనెక్ట్ అవుతుంది
living,జీవించి ఉన్న
things,విషయాలు
younger,యువ
brother,సోదరుడు
covets,కోవెట్స్
throne,సింహాసనం
plots,ప్లాట్లు
get,పొందండి
rid,విమోచనం
so,కాబట్టి
he,అతను
may,మే
become,అవ్వండి
One,ఒకటి
day,రోజు
best,ఉత్తమమైనది
friend,స్నేహితుడు
Nala,నాలా
explore,అన్వేషించండి
an,ఒక
elephant,ఏనుగు
graveyard,స్మశానవాటిక
where,ఎక్కడ
they,వాళ్ళు
are,ఉన్నాయి
chased,వెంబడించారు
clan,వంశం
spotted,మచ్చల
hyenas,హైనాస్
led,LED
ruthless,క్రూరమైన
Shenzi,షెంజీ
hears,వింటుంది
about,గురించి
incident,సంఘటన
majordomo,మజోర్డోమో
hornbill,హార్న్‌బిల్
Zazu,జాజు
rescues,రెస్క్యూ
cubs,కబ్స్
Though,అయితే
upset,కలత
disobeying,అవిధేయత
putting,పుటింగ్
himself,స్వయంగా
danger,ప్రమాదం
forgives,క్షమించు
great,గొప్పది
kings,రాజులు
past,గత
watch,చూడండి
them,వాటిని
night,రాత్రి
sky,ఆకాశం
will,విల్
Meanwhile,మరోవైపు
planned,ప్రణాళిక
whole,మొత్తం
thing,విషయం
visits,సందర్శనలు
convinces,ఒప్పించారు
help,సహాయం
overthrow,పడగొట్టండి
exchange,మార్పిడి
hunting,వేటాడు
rights,హక్కులు
sets,సెట్లు
trap,ఉచ్చు
luring,ఎర
into,లోపలికి
gorge,జార్జ్
having,కలిగి
drive,డ్రైవ్
large,పెద్దది
herd,మంద
wildebeest,వైల్డ్‌బీస్ట్
stampede,స్టాంపేడ్
trample,తొక్కండి
He,అతను
informs,సమాచారం
peril,ప్రమాదకర
knowing,తెలుసుకోవడం
rush,రష్
save,సేవ్
saves,ఆదా
but,కానీ
ends,ముగుస్తుంది
up,అప్
hanging,వేలాడుతున్న
perilously,ప్రమాదకరంగా
edge,అంచు
refuses,నిరాకరించింది
instead,బదులుగా
sending,పంపడం
falling,పడిపోతుంది
death,మరణం
then,అప్పుడు
tricks,ఉపాయాలు
thinking,ఆలోచిస్తూ
fault,తప్పు
tells,చెబుతుంది
leave,బయలుదేరండి
never,ఎప్పుడూ
return,తిరిగి
orders,ఆదేశాలు
kill,చంపండి
escapes,ఎస్కేప్స్
killed,చంపబడింది
steps,దశలు
forward,ముందుకు
allowing,అనుమతిస్తుంది
Two,రెండు
outcasts,బహిష్కృతులు
Timon,టిమోన్
Pumbaa,పుంబా
meerkat,మీర్కత్
warthog,వర్తోగ్
rescue,రెస్క్యూ
collapses,కూలిపోతుంది
desert,ఎడారి
grows,పెరుగుతుంది
oasis,ఒయాసిస్
two,రెండు
friends,స్నేహితులు
other,ఇతర
carefree,నిర్లక్ష్య
under,కింద
motto,నినాదం
hakuna,హకునా
matata,మాటాటా
no,లేదు
worries,చింత
Swahili,స్వాహిలి
grown,పెరిగిన
hungry,ఆకలితో
lioness,ఆడ సింహం
turns,మలుపులు
out,అవుట్
be,ఉండండి
She,ఆమె
reunite,తిరిగి కలుస్తుంది
fall,పతనం
love,ప్రేమ
urges,కోరికలు
home,హోమ్
telling,చెప్పడం
have,కలిగి
drought,కరువు
stricken,దెబ్బతింది
wasteland,బంజర భూమి
reign,పాలన
Out,అవుట్
guilt,అపరాధం
supposedly,అనుకుందా
causing,కారణం
storms,తుఫానులు
off,ఆఫ్
encounters,ఎన్‌కౌంటర్లు
spirit,ఆత్మ
lives,జీవితాలు
visited,సందర్శించారు
ghost,దెయ్యం
take,తీసుకోవడం
place,స్థలం
Realizing,గ్రహించడం
been,ఉంది
running,నడుస్తున్న
too,చాలా
long,లాంగ్
decides,నిర్ణయిస్తుంది
Aided,సహాయక
sneaks,స్నీక్స్
confronts,ఎదుర్కొంటుంది
fight,పోరాటం
taunts,టౌంట్స్
backs,బ్యాక్స్
rock,రాక్
reveals,బహిర్గతం
Enraged,కోపంగా
truth,నిజం
rest,విశ్రాంతి
attempts,ప్రయత్నాలు
defend,రక్షించండి
knowledge,జ్ఞానం
last,చివరిది
moment,క్షణం
despite,ఉన్నప్పటికీ
previously,గతంలో
claimed,క్లెయిమ్
arrived,వచ్చారు
late,ఆలస్యం
exposes,బహిర్గతం
lionesses,సింహరాశులు
fend,సి
while,అయితే
attempting,ప్రయత్నం
escape,ఎస్కేప్
cornered,మూలలు
ledge,లెడ్జ్
near,సమీపంలో
top,టాప్
begs,అడుగుతుంది
mercy,దయ
blame,నింద
crimes,నేరాలు
spares,విడిభాగాలు
forever,ఎప్పటికీ
attacks,దాడులు
throws,త్రోలు
cliff,క్లిఫ్
after,తరువాత
brief,క్లుప్తంగా
survives,బతికి ఉంది
gets,పొందుతాడు
attacked,దాడి చేసింది
mauled,మౌలెడ్
overheard,విన్నది
attempt,ప్రయత్నం
betray,ద్రోహం
Afterward,తరువాత
takes,తీసుకుంటాడు
makes,తయారీలను
queen,రాణి
With,తో
restored,పునరుద్ధరించబడింది
usual,సాధారణం
state,రాష్ట్రం
presents,బహుమతులు
cub,పిల్ల
assembled,సమావేశమైంది
continuing,కొనసాగింపు
Voice,వాయిస్
crown,కిరీటం
prince,ప్రిన్స్
said,అన్నారు
focus,దృష్టి
more,మరింత
growing,పెరుగుతోంది
than,కంటే
did,చేసింది
stating,పేర్కొంది
very,చాలా
keen,కీన్
making,తయారీ
sure,ఖచ్చితంగా
we,మేము
saw,చూసింది
transition,పరివర్తన
boy,అబ్బాయి
man,మనిషి
how,ఎలా
hard,హార్డ్
can,కెన్
when,ఎప్పుడు
there,అక్కడ
deep,లోతైన
trauma,గాయం
slow,నెమ్మదిగా
witted,విట్
befriends,మిత్రులుగా ఉండండి
adopts,దత్తత
runs,పరుగులు
away,దూరంగా
actor,నటుడు
don,డాన్
think,ఆలోచించండి
right,కుడి
every,ప్రతి
lot,చాలా
even,కూడా
movies,సినిమాలు
knew,తెలుసు
could,చేయగలిగింది
do,చేయండి
encouraged,ప్రోత్సహించబడింది
recordings,రికార్డింగ్‌లు
together,కలిసి
improvise,మెరుగుపరచండి
casting,కాస్టింగ్
would,చేస్తుంది
mark,మార్క్
first,ప్రధమ
not,కాదు
played,ఆడాడు
Ernie,ఎర్నీ
Sabella,సబెల్లా
had,కలిగి
reprised,రీప్రెజ్డ్
project,ప్రాజెక్ట్
character,పాత్ర
involved,ప్రమేయం
point,పాయింట్
treacherous,నమ్మకద్రోహ
law,చట్టం
seeks,కోరుతుంది
mantle,మాంటిల్
described,వివరించబడింది
psychologically,మానసికంగా
possessed,కలిగి
brutalized,క్రూరంగా
especially,ముఖ్యంగా
whether,ఉందొ లేదో అని
vocal,స్వర
quality,నాణ్యత
allows,అనుమతిస్తుంది
confidence,విశ్వాసం
or,లేదా
aggression,దూకుడు
always,ఎల్లప్పుడూ
know,తెలుసు
end,ముగింపు
you,మీరు
re,Re
playing,ఆడుతోంది
somebody,ఎవరో
has,కలిగి
capacity,సామర్థ్యం
turn,మలుపు
everything,అంతా
head,తల
split,స్ప్లిట్
outrageous,దారుణమైన
acts,చట్టాలు
violence,హింస
completely,పూర్తిగా
change,మార్పు
temperature,ఉష్ణోగ్రత
scene,దృశ్యం
relationship,సంబంధం
destroyed,ధ్వంసమైంది
way,మార్గం
this,ఇది
disease,వ్యాధి
own,సొంత
ego,అహం
want,కావాలి
just,కేవలం
fantastic,అద్భుతమైన
brings,తెస్తుంది
us,మాకు
bit,బిట్
Atlantic,అట్లాంటిక్
cadence,కాడెన్స్
feeling,భావన
Shakespearean,షేక్స్పియర్
villain,విలన్
bear,ఎలుగుబంటి
because,ఎందుకంటే
background,నేపథ్య
wonderful,అద్భుతమైన
experienced,అనుభవం
seasoned,రుచికోసం
breathes,.పిరి పీల్చుకుంటుంది
wife,భార్య
mother,తల్లి
wise,తెలివైన
cracking,పగుళ్లు
physically,శారీరకంగా
smallest,చిన్నది
bigger,పెద్దది
personalities,వ్యక్తిత్వాలు
combination,కలయిక
those,అవి
kind,రకం
ve,ve
done,పూర్తి
mine,మైన్
notion,భావన
might,ఉండవచ్చు
small,చిన్నది
stature,పొట్టితనం
huge,భారీ
sense,సెన్స్
entitlement,అర్హత
funny,ఫన్నీ
play,ఆడండి
speaks,మాట్లాడుతుంది
quote,కోట్
unquote,అన్‌కోట్
loud,బిగ్గరగా
boisterous,ఘోరమైనది
singing,గానం
vulnerable,హాని
side,వైపు
slightly,కొద్దిగా
softer,మృదువైన
Can,కెన్
You,మీరు
Feel,అనుభూతి
Love,ప్రేమ
Tonight,ఈరాత్రి
moments,క్షణాలు
talked,మాట్లాడారు
what,ఏమి
some,కొన్ని
consider,పరిగణించండి
gay,గే
sensibility,సున్నితత్వం
brought,తీసుకువచ్చారు
table,పట్టిక
voiced,గాత్రదానం
serves,పనిచేస్తుంది
close,దగ్గరగా
Likening,పోల్చడం
grandfather,తాత
reminds,గుర్తు చేస్తుంది
special,ప్రత్యేక
relative,సాపేక్ష
His,తన
wisdom,జ్ఞానం
humor,హాస్యం
loyalty,విధేయత
dynasty,రాజవంశం
warms,వేడెక్కుతుంది
our,మా
hearts,హృదయాలు
towards,వైపు
happy,సంతోషంగా
wisecracking,విసెక్రాకింగ్
jokes,జోకులు
lessons,పాఠాలు
survival,మనుగడ
Speaking,మాట్లాడుతూ
basically,సాధారణంగా
bird,పక్షి
likes,ఇష్టాలు
structure,నిర్మాణం
wants,కోరికలు
should,తప్పక
echoes,ప్రతిధ్వనులు
tend,bress
favor,అనుకూలంగా
lieu,అబద్ధం
emotional,భావోద్వేగ
reaction,స్పందన
anything,ఏదైనా
childhood,బాల్యం
future,భవిష్యత్తు
interest,వడ్డీ
According,ప్రకారం
felt,అనుభూతి
part,భాగం
joining,చేరడం
got,వచ్చింది
kids,పిల్లలు
feels,అనిపిస్తుంది
good,మంచిది
phase,దశ
her,ఆమె
career,కెరీర్
really,నిజంగా
much,చాలా
And,మరియు
course,కోర్సు
these,ఇవి
numbers,సంఖ్యలు
my,నా
God,దేవుడు
reputation,కీర్తి
far,దురముగా
beauty,అందం
talent,ప్రతిభ
reprises,రీప్రైజెస్
production,ఉత్పత్తి
chose,ఎంచుకున్నారు
work,పని
inspires,ప్రేరేపిస్తుంది
little,చిన్నది
girls,అమ్మాయిలు
model,మోడల్
husband,భర్త
lines,పంక్తులు
remain,ఉండండి
mostly,ఎక్కువగా
same,అదే
comfort,ఓదార్పు
going,వెళ్తున్నారు
rewarding,బహుమతి
taking,తీసుకోవడం
audience,ప్రేక్షకులు
journey,ప్రయాణం
again,మళ్ళీ
once,ఒకసారి
generation,తరం
carrying,మోస్తున్న
legacy,లెగసీ
across,అంతటా
tonality,టోనాలిటీ
compared,పోలిస్తే
served,వడ్డించారు
sounds,శబ్దాలు
like,ఇష్టం
ruled,పాలించబడింది
Kamari,కమరి
Azizi,అజీజి
Matriarch,మాతృక
hyena,హైనా
lieutenants,లెఫ్టినెంట్లు
join,చేరండి
forces,దళాలు
order,ఆర్డర్
While,అయితే
featured,ఫీచర్
respective,సంబంధిత
names,పేర్లు
loosely,వదులుగా
based,ఆధారిత
Banzai,బాన్జాయ్
Ed,సం
characterizations,లక్షణాలు
heavily,భారీగా
altered,మార్చబడింది
fit,సరిపోతుంది
realistic,వాస్తవిక
style,శైలి
stuff,విషయం
around,చుట్టూ
stylised,శైలీకృత
elaborated,విస్తరించబడింది
declaring,ప్రకటిస్తోంది
hose,గొట్టం
These,ఇవి
dangerous,ప్రమాదకరమైనది
German,జర్మన్
dub,డబ్
Additionally,అదనంగా
Penny,పెన్నీ
Johnson,జాన్సన్
Jerald,జెరాల్డ్
Sarafina,సారాఫినా
Amy,అమీ
Sedaris,సెడారిస్
Chance,అవకాశం
Rapper,రాపర్
Josh,జోష్
Phil,ఫిల్
LaMarr,లామర్
guineafowl,గినియా పక్షులు
bushbaby,బుష్బాబీ
shrew,ష్రూ
topi,టోపి
miscredited,తప్పుగా గుర్తించబడింది
impala,ఇంపాలా
respectively,వరుసగా
neighbors,పొరుగువారు
Lee,లీ
chases,వెంటాడారు
Production,ఉత్పత్తి
Development,అభివృద్ధి
On,పై
directing,దర్శకత్వం
feature,లక్షణం
songs,పాటలు
string,స్ట్రింగ్
recent,ఇటీవలి
Maleficent,మాలెఫిసెంట్
Cinderella,సిండ్రెల్లా
Beauty,అందం
Beast,మృగం
latter,తరువాతి
three,మూడు
earning,సంపాదన
critical,క్లిష్టమైన
praise,ప్రశంసలు
October,అక్టోబర్
reported,నివేదించబడింది
hired,అద్దె
write,వ్రాయడానికి
screenplay,స్క్రీన్ ప్లే
November,నవంబర్
talking,మాట్లాడటం
ComingSoon,త్వరలో
net,నెట్
technology,సాంకేతికం
Although,అయినప్పటికీ
reports,నివేదికలు
actually,అసలైన
utilizes,ఉపయోగించుకుంటుంది
computer,కంప్యూటర్
generated,ఉత్పత్తి
animation,యానిమేషన్
describe,వివరించండి
only,మాత్రమే
follow,అనుసరించండి
technologically,సాంకేతికంగా
groundbreaking,సంచలనం
approach,విధానం
aspects,అంశాలను
particularly,ముఖ్యంగా
aimed,లక్ష్యం
develop,అభివృద్ధి
spectacle,దృశ్యం
BBC,బిబిసి
wildlife,వన్యప్రాణి
documentary,డాక్యుమెంటరీ
This,ఇది
final,చివరి
credit,క్రెడిట్
editor,ఎడిటర్
Mark,మార్క్
Livolsi,లిగోల్సీ
died,మరణించారు
dedicated,అంకితం
Casting,కాస్టింగ్
February,ఫిబ్రవరి
April,ఏప్రిల్
announced,ప్రకటించారు
Earlier,అంతకుముందు
March,మార్చి
choice,ఎంపిక
director,దర్శకుడు
studio,స్టూడియో
willing,ఇష్టపడే
whatever,ఏదో ఒకటి
took,టేక్
accommodate,వసతి
busy,బిజీగా
schedule,షెడ్యూల్
Later,తరువాత
official,అధికారిక
announcement,ప్రకటన
created,సృష్టించబడింది
Visual,దృశ్య
Moving,కదిలే
Picture,చిత్రం
Company,కంపెనీ
lead,సీసం
vendor,విక్రేత
provided,అందించబడింది
supervised,పర్యవేక్షించబడింది
Robert,రాబర్ట్
Legato,లెగాటో
Elliot,ఇలియట్
Newman,కొత్త మనిషి
Adam,ఆడమ్
Valdez,వాల్డెజ్
uses,ఉపయోగాలు
according,ప్రకారం
Effects,ప్రభావాలు
Supervisor,పర్యవేక్షకుడు
Rob,రాబ్
Virtual,వర్చువల్
Girish,గిరిష్
Balakrishnan,బాలకృష్ణన్
professional,ప్రొఫెషనల్
website,వెబ్‌సైట్
filmmakers,చిత్రనిర్మాతలు
motion,కదలిక
capture,క్యాప్చర్
VR,Vr
AR,Ar
technologies,సాంకేతికతలు
MPC,MPC
worked,పనిచేశారు
tech,టెక్
firms,సంస్థలు
Magnopus,మాగ్నోపస్
Unity,ఐక్యత
Technologies,సాంకేతికతలు
build,బిల్డ్
platform,వేదిక
using,ఉపయోగించడం
game,ఆట
engine,ఇంజిన్
charge,ఆరోపణ
VFX,VFX
shots,షాట్లు
There,అక్కడ
designed,రూపకల్పన
art,కళ
photo,ఫోటో
references,ప్రస్తావనలు
From,నుండి
built,నిర్మించబడింది
rigging,రిగ్గింగ్
shapes,ఆకారాలు
textures,అల్లికలు
furs,బొచ్చు
rendered,అన్వయించబడింది
step,దశ
further,మరింత
improvement,మెరుగుదల
After,తరువాత
crafted,రూపొందించిన
hand,చెయ్యి
reference,సూచన
clips,క్లిప్‌లు
movements,కదలికలు
